2024-10-14 19:44:52 INFO  baseClass:49 - Hi
2024-10-14 19:54:29 INFO  baseClass:49 - The URL is Opening
2024-10-14 19:54:31 INFO  baseClass:20 - Entering the Admin Username
2024-10-14 19:54:33 INFO  baseClass:23 - Entering the Admin Password
2024-10-14 19:54:35 INFO  baseClass:26 - Clicked on the Login Button
2024-10-14 19:54:38 INFO  baseClass:29 - Clicked on the Profile
2024-10-14 19:54:41 INFO  baseClass:33 - Successfully Logged Out
2024-10-14 19:54:41 INFO  baseClass:55 - Clossing the Browser
2024-10-14 21:31:29 INFO  baseClass:49 - The URL is Opening
2024-10-14 21:31:30 INFO  baseClass:20 - Entering the Admin Username
2024-10-14 21:31:32 INFO  baseClass:23 - Entering the Admin Password
2024-10-14 21:31:35 INFO  baseClass:26 - Clicked on the Login Button
2024-10-14 21:31:37 INFO  baseClass:29 - Clicked on the Profile
2024-10-14 21:31:40 INFO  baseClass:33 - Successfully Logged Out
2024-10-14 21:31:40 INFO  baseClass:55 - Clossing the Browser
2024-10-14 21:31:44 INFO  baseClass:49 - The URL is Opening
2024-10-14 21:31:46 INFO  baseClass:21 - Entering Admin Username
2024-10-14 21:31:48 INFO  baseClass:24 - Entering the Admin Password
2024-10-14 21:31:50 INFO  baseClass:27 - Clicked the Login Button
2024-10-14 21:31:54 INFO  baseClass:31 - Clicked on the PIM
2024-10-14 21:31:56 INFO  baseClass:34 - Clicked on the AddEmployee tab
2024-10-14 21:31:58 INFO  baseClass:37 - Entering Employee first name
2024-10-14 21:32:00 INFO  baseClass:40 - Entering Employee Middle Name
2024-10-14 21:32:02 INFO  baseClass:43 - Entering Employee Last Name
2024-10-14 21:32:09 INFO  baseClass:46 - Entering Employee ID Number
2024-10-14 21:32:09 INFO  baseClass:48 - Clicked on the CheckBox
2024-10-14 21:32:11 INFO  baseClass:51 - Entering Employee Username
2024-10-14 21:32:15 INFO  baseClass:54 - Entering Employee Password
2024-10-14 21:32:19 INFO  baseClass:57 - Entering Employee Password Again
2024-10-14 21:32:19 INFO  baseClass:59 - Clicked on the Save Button
2024-10-14 21:32:26 INFO  baseClass:62 - Clicked on the Profile icon
2024-10-14 21:32:29 INFO  baseClass:65 - SuccessFully Logged Out
2024-10-14 21:32:29 INFO  baseClass:55 - Clossing the Browser
2024-10-14 21:32:33 INFO  baseClass:49 - The URL is Opening
2024-10-14 21:32:34 INFO  baseClass:17 - Entering the Employee Username
2024-10-14 21:32:34 INFO  baseClass:19 - Entering the Employee Password
2024-10-14 21:32:34 INFO  baseClass:21 - Clicked On the LoginButton
2024-10-14 21:32:36 INFO  baseClass:23 - Validating the Username is Correct
2024-10-14 21:32:36 INFO  baseClass:25 - Clicking on the Profile Icon
2024-10-14 21:32:38 INFO  baseClass:28 - Successfully Logged Out
2024-10-14 21:32:38 INFO  baseClass:55 - Clossing the Browser
2024-10-14 21:32:42 INFO  baseClass:49 - The URL is Opening
2024-10-14 21:32:43 INFO  baseClass:21 - Entering the Username
2024-10-14 21:32:43 INFO  baseClass:23 - Entering the Password
2024-10-14 21:32:43 INFO  baseClass:25 - Clicked on the login Button
2024-10-14 21:32:46 INFO  baseClass:28 - Clicked on Information
2024-10-14 21:32:52 INFO  baseClass:32 - Clicked on the Nationality
2024-10-14 21:32:54 INFO  baseClass:35 - Selected the Nationality 
